iter,score_cpxR,score_soxR
103,-3909.0,-16226.0
104,-3886.0,-16059.0
105,-1906.0,-17472.0
106,-5311.0,-19325.0
107,-4624.0,-16896.0
108,-4345.0,-19778.0
109,-4010.0,-20050.0
110,-5348.0,-18556.0
111,-2479.0,-15242.0
112,-5065.0,-19161.0
113,-5740.0,-20326.0
114,-7490.0,-18474.0
115,-3046.0,-16248.0
116,-4933.0,-13968.0
117,-2410.0,-13748.0
118,-4533.0,-15085.0
119,-5726.0,-20044.0
120,-4765.0,-20163.0
121,-5680.0,-16085.0
122,-4143.0,-17871.0
123,-3324.0,-17764.0
124,-5504.0,-16366.0
125,-4772.0,-17020.0
126,-5174.0,-20309.0
127,-5330.0,-15492.0
128,-4886.0,-17754.0
129,-6080.0,-14439.0
130,-6100.0,-17524.0
131,-3929.0,-13232.0
132,-5493.0,-17668.0
133,-5196.0,-20234.0
134,-3854.0,-18772.0
135,-4207.0,-19492.0
136,-2822.0,-15075.0
137,-5352.0,-17705.0
138,-5803.0,-17374.0
139,-2654.0,-15754.0
140,-3678.0,-20195.0
141,-6304.0,-15369.0
142,-4938.0,-17365.0
143,-4430.0,-19023.0
144,-5065.0,-13291.0
145,-5377.0,-19235.0
146,-5893.0,-16703.0
147,-4489.0,-18730.0
148,-2989.0,-15886.0
149,-1975.0,-19185.0
150,-6198.0,-16676.0
151,-5106.0,-13279.0
152,-1755.0,-16531.0
153,-1929.0,-20100.0
154,-5642.0,-18011.0
155,-1403.0,-17896.0
156,-4989.0,-15307.0
157,-5875.0,-13557.0
158,-5224.0,-15318.0
159,-5998.0,-19847.0
160,-3048.0,-17543.0
161,-6389.0,-16813.0
162,-4253.0,-14514.0
163,-5880.0,-16578.0
164,-5402.0,-15201.0
165,-7216.0,-18204.0
166,-6115.0,-16551.0
167,-4146.0,-11028.0
168,-3917.0,-15117.0
169,-5061.0,-18558.0
170,-5567.0,-21493.0
171,-6030.0,-19781.0
172,-4848.0,-18092.0
173,-4697.0,-14090.0
174,-5139.0,-18011.0
175,-3117.0,-13884.0
176,-6056.0,-18011.0
177,-3991.0,-11666.0
178,-4897.0,-14205.0
179,-2748.0,-15528.0
180,-5513.0,-13095.0
181,-4427.0,-18327.0
182,-6002.0,-20130.0
183,-5562.0,-17119.0
184,-4963.0,-23634.0
185,-5965.0,-17781.0
186,-6290.0,-18928.0
187,-5872.0,-17590.0
188,-4226.0,-13597.0
189,-5837.0,-18524.0
190,-6671.0,-14406.0
191,-4183.0,-16294.0
192,-6301.0,-22251.0
193,-5883.0,-16335.0
194,-3141.0,-15259.0
195,-4340.0,-14076.0
196,-4207.0,-20036.0
197,-3840.0,-17128.0
198,-5168.0,-15416.0
199,-3532.0,-15581.0
200,-4705.0,-20921.0
201,-4931.0,-20458.0
202,-5214.0,-20975.0
203,-5456.0,-17831.0
204,-3848.0,-16653.0
205,-4524.0,-16663.0
206,-4034.0,-16794.0
207,-4013.0,-17607.0
208,-3614.0,-12347.0
209,-4304.0,-18069.0
210,-5995.0,-15291.0
211,-5512.0,-14157.0
212,-6072.0,-18401.0
213,-4863.0,-15517.0
214,-3099.0,-15845.0
215,-4272.0,-15573.0
216,-4306.0,-17591.0
217,-5499.0,-19630.0
218,-4630.0,-15399.0
219,-6185.0,-21320.0
220,-6913.0,-19028.0
221,-4492.0,-9345.0
222,-4127.0,-19737.0
223,-4973.0,-15920.0
224,-3851.0,-15235.0
225,-4844.0,-16220.0
226,-4718.0,-22367.0
227,-7097.0,-18577.0
228,-5906.0,-12776.0
229,-5348.0,-14619.0
230,-5000.0,-16177.0
231,-4323.0,-15233.0
232,-5223.0,-20838.0
233,-5514.0,-9713.0
234,-5039.0,-15480.0
235,-4981.0,-14398.0
236,-5194.0,-18521.0
237,-3565.0,-15778.0
238,-4324.0,-16325.0
239,-4388.0,-21271.0
240,-3984.0,-19335.0
241,-4780.0,-14206.0
242,-5678.0,-14857.0
243,-2252.0,-17602.0
244,-3756.0,-17622.0
245,-3477.0,-18193.0
246,-3514.0,-17186.0
247,-4739.0,-17276.0
248,-4005.0,-17860.0
249,-5004.0,-19673.0
250,-3423.0,-16469.0
251,-4028.0,-17945.0
252,-3435.0,-13330.0
253,-5543.0,-10804.0
254,-4410.0,-17406.0
255,-6958.0,-16264.0
256,-4642.0,-17040.0
257,-1318.0,-16751.0
258,-6516.0,-15862.0
259,-5267.0,-18629.0
260,-4508.0,-16700.0
261,-4677.0,-20389.0
262,-5112.0,-20344.0
263,-6391.0,-19477.0
264,-4352.0,-15553.0
265,-5826.0,-17645.0
266,-4592.0,-16705.0
267,-5083.0,-15565.0
268,-4961.0,-19796.0
269,-4930.0,-20146.0
270,-3546.0,-17364.0
271,-3704.0,-15662.0
272,-3214.0,-17325.0
273,-6479.0,-14877.0
274,-3588.0,-18573.0
275,-6257.0,-21080.0
276,-4663.0,-14697.0
277,-4731.0,-14619.0
278,-5298.0,-14695.0
279,-4471.0,-12614.0
280,-4393.0,-15629.0
281,-4759.0,-18563.0
282,-6089.0,-20781.0
283,-2463.0,-20296.0
284,-4743.0,-16570.0
285,-4287.0,-16904.0
286,-2834.0,-18563.0
287,-3805.0,-13909.0
288,-4652.0,-13963.0
289,-5764.0,-11018.0
290,-5290.0,-18514.0
291,-4373.0,-19126.0
292,-5636.0,-17524.0
293,-5226.0,-15604.0
294,-4095.0,-19854.0
295,-5127.0,-14157.0
296,-3049.0,-15188.0
297,-5750.0,-14877.0
298,-4730.0,-15613.0
299,-3921.0,-17236.0
300,-5556.0,-19210.0
301,-4113.0,-14497.0
302,-4565.0,-17894.0
303,-4581.0,-11691.0
304,-5641.0,-17704.0
305,-3782.0,-18573.0
306,-4640.0,-15648.0
307,-2326.0,-13131.0
308,-5452.0,-15098.0
309,-5092.0,-18546.0
310,-4531.0,-17715.0
311,-4090.0,-13989.0
312,-6108.0,-10384.0
313,-1826.0,-14323.0
314,-4058.0,-18621.0
315,-3236.0,-15257.0
316,-3647.0,-18046.0
317,-6137.0,-18573.0
318,-6178.0,-17981.0
319,-5246.0,-15279.0
320,-5407.0,-14893.0
321,-6339.0,-14350.0
322,-6448.0,-20019.0
323,-4476.0,-12285.0
324,-3522.0,-15283.0
325,-4785.0,-16266.0
326,-5104.0,-9908.0
327,-1195.0,-13212.0
328,-4382.0,-20087.0
329,-3567.0,-17920.0
330,-3944.0,-15100.0
331,-7354.0,-21088.0
332,-5233.0,-17440.0
333,-6002.0,-17680.0
334,-3794.0,-21568.0
335,-3642.0,-17873.0
336,-2549.0,-21021.0
337,-5426.0,-17656.0
338,-3617.0,-16845.0
339,-1520.0,-17038.0
340,-4755.0,-16437.0
341,-7051.0,-13351.0
342,-3342.0,-18119.0
343,-605.0,-14130.0
344,-2682.0,-17103.0
345,-5163.0,-15273.0
346,-3982.0,-16573.0
347,-4578.0,-17690.0
348,-4733.0,-14458.0
349,-3624.0,-17788.0
350,-4932.0,-18102.0
351,-2432.0,-17681.0
352,-6230.0,-17963.0
353,-2999.0,-17914.0
354,-5161.0,-17781.0
355,-6213.0,-15240.0
356,-3627.0,-15048.0
357,-4532.0,-13968.0
358,-2744.0,-16904.0
359,-5812.0,-10609.0
360,-5806.0,-19404.0
361,-3484.0,-14862.0
362,-4644.0,-14669.0
363,-3963.0,-20246.0
364,-2217.0,-12985.0
365,-4206.0,-13225.0
366,-2646.0,-15506.0
367,-3571.0,-19833.0
368,-4702.0,-14347.0
369,-7944.0,-17995.0
370,-6241.0,-18590.0
371,-4399.0,-18732.0
372,-6138.0,-14721.0
373,-4876.0,-12766.0
374,-3511.0,-13899.0
375,-4955.0,-13217.0
376,-4584.0,-18827.0
377,-5387.0,-19096.0
378,-5616.0,-14892.0
379,-5173.0,-16144.0
380,-4864.0,-16295.0
381,-4683.0,-18614.0
382,-2823.0,-9276.0
383,-4979.0,-13158.0
384,-4737.0,-17218.0
385,-6702.0,-16093.0
386,-4949.0,-14889.0
387,-3527.0,-14291.0
388,-4261.0,-14514.0
389,-2446.0,-16361.0
390,-3752.0,-20798.0
391,-4499.0,-20151.0
392,-5548.0,-15166.0
393,-4916.0,-15482.0
394,-4513.0,-17545.0
395,-3667.0,-17654.0
396,-2173.0,-12161.0
397,-5398.0,-17913.0
398,-4939.0,-16490.0
399,-4198.0,-17688.0
400,-5382.0,-16298.0
401,-4719.0,-18815.0
402,-5328.0,-18688.0
403,-6600.0,-15286.0
404,-4560.0,-18558.0
405,-4494.0,-17928.0
406,-5079.0,-15930.0
407,-5394.0,-18987.0
408,-4071.0,-19654.0
409,-5150.0,-13774.0
410,-5135.0,-15225.0
411,-4967.0,-17613.0
412,-2056.0,-14298.0
413,-4866.0,-15773.0
414,-2160.0,-12382.0
415,-6132.0,-12656.0
416,-5725.0,-19492.0
417,-6071.0,-17778.0
418,-5871.0,-15604.0
419,-3661.0,-15764.0
420,-4993.0,-14887.0
421,-6322.0,-13117.0
422,-3066.0,-18202.0
423,-2521.0,-17747.0
424,-5038.0,-17020.0
425,-4016.0,-13075.0
426,-4638.0,-17865.0
427,-4748.0,-16065.0
428,-2826.0,-12973.0
429,-3587.0,-18118.0
430,-5575.0,-16292.0
431,-4439.0,-16855.0
432,-6108.0,-16607.0
433,-4766.0,-19186.0
434,-3632.0,-14548.0
435,-5201.0,-18012.0
436,-4278.0,-23122.0
437,-5482.0,-16690.0
438,-6849.0,-16972.0
439,-3887.0,-14414.0
440,-6139.0,-14511.0
441,-4414.0,-14489.0
442,-4112.0,-15604.0
443,-4410.0,-18854.0
444,-4258.0,-15317.0
445,-1476.0,-20002.0
446,-6572.0,-18625.0
447,-6408.0,-16929.0
448,-2939.0,-10576.0
449,-5670.0,-17480.0
450,-2797.0,-18845.0
451,-5875.0,-20236.0
452,-4769.0,-15575.0
453,-5184.0,-16053.0
454,-3378.0,-18509.0
455,-3412.0,-14055.0
456,-2756.0,-20127.0
457,-5771.0,-18654.0
458,-5316.0,-15788.0
459,-5886.0,-16806.0
460,-5367.0,-15429.0
461,-4908.0,-17153.0
462,-5299.0,-14315.0
463,-3756.0,-18609.0
464,-4588.0,-19761.0
465,-7132.0,-18612.0
466,-6621.0,-18302.0
467,-4443.0,-17082.0
468,-4913.0,-15007.0
469,-5844.0,-15622.0
470,-5492.0,-18553.0
471,-4993.0,-16754.0
472,-5073.0,-17865.0
473,-5877.0,-13352.0
474,-4963.0,-19039.0
475,-4414.0,-17837.0
476,-3821.0,-13235.0
477,-5059.0,-15273.0
478,-3802.0,-21625.0
479,-3014.0,-16132.0
480,-2483.0,-15470.0
481,-5926.0,-19293.0
482,-3449.0,-11754.0
483,-5873.0,-19632.0
484,-3655.0,-21136.0
485,-5529.0,-17727.0
486,-4311.0,-18462.0
487,-3845.0,-13916.0
488,-4200.0,-15391.0
489,-5089.0,-19742.0
490,-3521.0,-20283.0
491,-5420.0,-20038.0
492,-5428.0,-15455.0
493,-1129.0,-15467.0
494,-5649.0,-15453.0
495,-5236.0,-12836.0
496,-3955.0,-15678.0
497,-5831.0,-19121.0
498,-2346.0,-13555.0
499,-5550.0,-21139.0
500,-3976.0,-16727.0
501,-5087.0,-18629.0
502,-4936.0,-10283.0
503,-3850.0,-20261.0
504,-4351.0,-19219.0
505,-4414.0,-17796.0
506,-6598.0,-16921.0
507,-2380.0,-14293.0
508,-4792.0,-17793.0
509,-6101.0,-19344.0
510,-5693.0,-17647.0
511,-6532.0,-18688.0
512,-5975.0,-18952.0
513,-2179.0,-13216.0
514,-5592.0,-15837.0
515,-4569.0,-16662.0
516,-2028.0,-16245.0
517,-5133.0,-19835.0
518,-6649.0,-17997.0
519,-5109.0,-16616.0
520,-2470.0,-14729.0
521,-5308.0,-16265.0
522,-4386.0,-13221.0
523,-4795.0,-20277.0
524,-4292.0,-16746.0
525,-5221.0,-17580.0
526,-4545.0,-11222.0
527,-4311.0,-21923.0
528,-4205.0,-17413.0
529,-5712.0,-16813.0
530,-4189.0,-20872.0
531,-5080.0,-15698.0
532,-7634.0,-13021.0
533,-4237.0,-20164.0
534,-4189.0,-14065.0
535,-5710.0,-18757.0
536,-5547.0,-18830.0
537,-5149.0,-15720.0
538,-7202.0,-16251.0
539,-4328.0,-15702.0
540,-4940.0,-17019.0
541,-5895.0,-14055.0
542,-5983.0,-15483.0
543,-1964.0,-15453.0
544,-2147.0,-21436.0
545,-4133.0,-16018.0
546,-5897.0,-17914.0
547,-4183.0,-15528.0
548,-4643.0,-15482.0
549,-5141.0,-19086.0
550,-5202.0,-19696.0
551,-3690.0,-16377.0
552,-4810.0,-14498.0
553,-5121.0,-21239.0
554,-5243.0,-14351.0
555,-4869.0,-20141.0
556,-6960.0,-16906.0
557,-6141.0,-16212.0
558,-3503.0,-16471.0
559,-5113.0,-18507.0
560,-3196.0,-18563.0
561,-6310.0,-20617.0
562,-4657.0,-18428.0
563,-5233.0,-15250.0
564,-4729.0,-14178.0
565,-5071.0,-13803.0
566,-5694.0,-17671.0
567,-5671.0,-16292.0
568,-3463.0,-15224.0
569,-3365.0,-15463.0
570,-6438.0,-15794.0
571,-7891.0,-17664.0
572,-4086.0,-15808.0
573,-3551.0,-19913.0
574,-5534.0,-12634.0
575,-3892.0,-19688.0
576,-3241.0,-20301.0
577,-3137.0,-15257.0
578,-4697.0,-16947.0
579,-4296.0,-10893.0
580,-5250.0,-18780.0
581,-3184.0,-17764.0
582,-6251.0,-14168.0
583,-3821.0,-13698.0
584,-6267.0,-17754.0
585,-5649.0,-17723.0
586,-4577.0,-17104.0
587,-5084.0,-16687.0
588,-3023.0,-19136.0
589,-2507.0,-17865.0
590,-3015.0,-12959.0
591,-3817.0,-21043.0
592,-5265.0,-15298.0
593,-4937.0,-13067.0
594,-4633.0,-14723.0
595,-3887.0,-15210.0
596,-5510.0,-17421.0
597,-4970.0,-17636.0
598,-5836.0,-19352.0
599,-5824.0,-19350.0
600,-1787.0,-14403.0
601,-4824.0,-15151.0
602,-6002.0,-17606.0
603,-3678.0,-21568.0
604,-5204.0,-18706.0
605,-5549.0,-19500.0
606,-4478.0,-16384.0
607,-5073.0,-18757.0
608,-4075.0,-16161.0
609,-5635.0,-15257.0
610,-5367.0,-18747.0
611,-4243.0,-16061.0
612,-4551.0,-18318.0
613,-5660.0,-15099.0
614,-5247.0,-16923.0
615,-783.0,-16565.0
616,-4324.0,-17477.0
617,-5792.0,-17852.0
618,-5541.0,-13267.0
619,-4206.0,-17434.0
620,-4712.0,-13264.0
621,-5996.0,-22012.0
622,-5181.0,-17946.0
623,-3664.0,-15346.0
624,-5799.0,-9528.0
625,-4160.0,-19815.0
626,-4540.0,-18624.0
627,-4891.0,-17901.0
628,-3299.0,-20383.0
629,-3988.0,-16879.0
630,-3962.0,-13474.0
631,-6195.0,-13158.0
632,-4962.0,-17656.0
633,-3081.0,-12340.0
634,-2569.0,-16298.0
635,-5997.0,-20195.0
636,-6666.0,-17980.0
637,-3276.0,-18845.0
638,-5990.0,-20196.0
639,-6195.0,-17457.0
640,-4942.0,-16734.0
641,-2176.0,-20749.0
642,-5514.0,-16266.0
643,-4831.0,-21011.0
644,-2722.0,-15299.0
645,-5145.0,-17764.0
646,-5396.0,-19698.0
647,-4029.0,-12347.0
648,-5757.0,-18524.0
649,-3252.0,-11587.0
650,-3220.0,-12692.0
651,-5131.0,-15308.0
652,-4585.0,-19847.0
653,-5196.0,-21172.0
654,-4649.0,-15695.0
655,-3860.0,-20518.0
656,-1466.0,-14365.0
657,-4999.0,-15486.0
658,-7353.0,-14034.0
659,-666.0,-18219.0
660,-5416.0,-11166.0
661,-5181.0,-22294.0
662,-4027.0,-15307.0
663,-4053.0,-15281.0
664,-4393.0,-12367.0
665,-5702.0,-15448.0
666,-4366.0,-15391.0
667,-5706.0,-17953.0
668,-5006.0,-16570.0
669,-4924.0,-11482.0
670,-5447.0,-18789.0
671,-5637.0,-18744.0
672,-5517.0,-17340.0
673,-5329.0,-20163.0
674,-5360.0,-12153.0
675,-5507.0,-19036.0
676,-4133.0,-18622.0
677,-1173.0,-14256.0
678,-4032.0,-16557.0
679,-5748.0,-19111.0
680,-5605.0,-10523.0
681,-5324.0,-17690.0
682,-6101.0,-18903.0
683,-6844.0,-11877.0
684,-4585.0,-18977.0
685,-3931.0,-21600.0
686,-4534.0,-17749.0
687,-5851.0,-14892.0
688,-4196.0,-16019.0
689,-3593.0,-14130.0
690,-5666.0,-12774.0
691,-6715.0,-18501.0
692,-7149.0,-17483.0
693,-3685.0,-15845.0
694,-3699.0,-15126.0
695,-3646.0,-16945.0
696,-5682.0,-18661.0
697,-4714.0,-17269.0
698,-6228.0,-16781.0
699,-4921.0,-16480.0
700,-4207.0,-19354.0
701,-5438.0,-20151.0
702,-4935.0,-15998.0
703,-6142.0,-19278.0
704,-3254.0,-14213.0
705,-5775.0,-19359.0
706,-4607.0,-15579.0
707,-4439.0,-17369.0
708,-1203.0,-10552.0
709,-4196.0,-17504.0
710,-6070.0,-15433.0
711,-5468.0,-15516.0
712,-5253.0,-18580.0
713,-5333.0,-12018.0
714,-3470.0,-19011.0
715,-2110.0,-17862.0
716,-4788.0,-16563.0
717,-5496.0,-22592.0
718,-3844.0,-17340.0
719,-6535.0,-22864.0
720,-5380.0,-15346.0
721,-4461.0,-18986.0
722,-2474.0,-13570.0
723,-4115.0,-15051.0
724,-6263.0,-15822.0
725,-2535.0,-13964.0
726,-4731.0,-19722.0
727,-4816.0,-15869.0
728,-5292.0,-18692.0
729,-4892.0,-21039.0
730,-5066.0,-16689.0
731,-4945.0,-15297.0
732,-4445.0,-16921.0
733,-4974.0,-16959.0
734,-4865.0,-12160.0
735,-4841.0,-18212.0
736,-4649.0,-20877.0
737,-5155.0,-11759.0
738,-6180.0,-15732.0
739,-6254.0,-21634.0
740,-5875.0,-17428.0
741,-2536.0,-11974.0
742,-4651.0,-12634.0
743,-2339.0,-12850.0
744,-5831.0,-19695.0
745,-4512.0,-15298.0
746,-4328.0,-20213.0
747,-6143.0,-18712.0
748,-3619.0,-18440.0
749,-3434.0,-17118.0
750,-4669.0,-17586.0
751,-5707.0,-17762.0
752,-6628.0,-17622.0
753,-5687.0,-17556.0
754,-5047.0,-15345.0
755,-5997.0,-14134.0
756,-5170.0,-16987.0
757,-3593.0,-15673.0
758,-4825.0,-16690.0
759,-5244.0,-13293.0
760,-3739.0,-19679.0
761,-5828.0,-15421.0
762,-3845.0,-14011.0
763,-3317.0,-10059.0
764,-3078.0,-20994.0
765,-5041.0,-17205.0
766,-4833.0,-18757.0
767,-4858.0,-15589.0
768,-4652.0,-19370.0
769,-2882.0,-17681.0
770,-5881.0,-16886.0
771,-4447.0,-15536.0
772,-4019.0,-16426.0
773,-3939.0,-16797.0
774,-4324.0,-20138.0
775,-5222.0,-15445.0
776,-5416.0,-17712.0
777,-5245.0,-18253.0
778,-5860.0,-16755.0
779,-4491.0,-16911.0
780,-4075.0,-21963.0
781,-3829.0,-19764.0
782,-5280.0,-14035.0
783,-5919.0,-17070.0
784,-4425.0,-14958.0
785,-3056.0,-19382.0
786,-3550.0,-20599.0
787,-4962.0,-21391.0
788,-6325.0,-16275.0
789,-5303.0,-16029.0
790,-4308.0,-16313.0
791,-4001.0,-12900.0
792,-4717.0,-20309.0
793,-4843.0,-20301.0
794,-2424.0,-14266.0
795,-5835.0,-16127.0
796,-4978.0,-10729.0
797,-4425.0,-17722.0
798,-5960.0,-17615.0
799,-1992.0,-21509.0
800,-5824.0,-19160.0
801,-4503.0,-13095.0
802,-3017.0,-15983.0
803,-5867.0,-20887.0
804,-3218.0,-17754.0
805,-4193.0,-17445.0
806,-6563.0,-15126.0
807,-6076.0,-14999.0
808,-3761.0,-16091.0
809,-5126.0,-13506.0
810,-4255.0,-21285.0
811,-6359.0,-16100.0
812,-6323.0,-20544.0
813,-6010.0,-17929.0
814,-5891.0,-19565.0
815,-4334.0,-17433.0
816,-4505.0,-12226.0
817,-5735.0,-11810.0
818,-4441.0,-18636.0
819,-4660.0,-15781.0
820,-5555.0,-15494.0
821,-2945.0,-15073.0
822,-3629.0,-10563.0
823,-2336.0,-18830.0
824,-3559.0,-21995.0
825,-6566.0,-16330.0
826,-5622.0,-13489.0
827,-4613.0,-14505.0
828,-4246.0,-14232.0
829,-3924.0,-13165.0
830,-3146.0,-13715.0
831,-4204.0,-18268.0
832,-6308.0,-16890.0
833,-3959.0,-12027.0
834,-5925.0,-16828.0
835,-4171.0,-15004.0
836,-4157.0,-17472.0
837,-5925.0,-12324.0
838,-3637.0,-15261.0
839,-4403.0,-15428.0
840,-4580.0,-18268.0
841,-2597.0,-15078.0
842,-3829.0,-16055.0
843,-4117.0,-15190.0
844,-4887.0,-18955.0
845,-3173.0,-18595.0
846,-4040.0,-15754.0
847,-5961.0,-20840.0
848,-3324.0,-18407.0
849,-5477.0,-16413.0
850,-4812.0,-18588.0
851,-6289.0,-16157.0
852,-6305.0,-20014.0
853,-6735.0,-20450.0
854,-5324.0,-12891.0
855,-3670.0,-15580.0
856,-4313.0,-15308.0
857,-5414.0,-14249.0
858,-4907.0,-16247.0
859,-5119.0,-16457.0
860,-5925.0,-19946.0
861,-6505.0,-15068.0
862,-5255.0,-14416.0
863,-5106.0,-15085.0
864,-6880.0,-10262.0
865,-1643.0,-18514.0
866,-3453.0,-16936.0
867,-4019.0,-9548.0
868,-5323.0,-17389.0
869,-5983.0,-19491.0
870,-4765.0,-15396.0
871,-5844.0,-18614.0
872,-6188.0,-17880.0
873,-4009.0,-17583.0
874,-5383.0,-16480.0
875,-5150.0,-14244.0
876,-3643.0,-17408.0
877,-4303.0,-12891.0
878,-4642.0,-16838.0
879,-4406.0,-16768.0
880,-4303.0,-17641.0
881,-4932.0,-16727.0
882,-3222.0,-21043.0
883,-3415.0,-16663.0
884,-4428.0,-17020.0
885,-4844.0,-15218.0
886,-5486.0,-19194.0
887,-3771.0,-17009.0
888,-5867.0,-20324.0
889,-5223.0,-12975.0
890,-2384.0,-16437.0
891,-1849.0,-20345.0
892,-4738.0,-15914.0
893,-5660.0,-15725.0
894,-2839.0,-14099.0
895,-3179.0,-14909.0
896,-3925.0,-15786.0
897,-7172.0,-19830.0
898,-5477.0,-16580.0
899,-6086.0,-20921.0
900,-6185.0,-18906.0
901,-4675.0,-15326.0
902,-4091.0,-16921.0
903,-2079.0,-17470.0
904,-6147.0,-13024.0
905,-4362.0,-18195.0
906,-6361.0,-17167.0
907,-4214.0,-18308.0
908,-6628.0,-17666.0
909,-5506.0,-18070.0
910,-5204.0,-22085.0
911,-3230.0,-16598.0
912,-7384.0,-14308.0
913,-3110.0,-17800.0
914,-6183.0,-20423.0
915,-4691.0,-17779.0
916,-5208.0,-18523.0
917,-3247.0,-16851.0
918,-5749.0,-13023.0
919,-4906.0,-12830.0
920,-4814.0,-15455.0
921,-4755.0,-18708.0
922,-6525.0,-12389.0
923,-3145.0,-15587.0
924,-5309.0,-17337.0
925,-4876.0,-15065.0
926,-4850.0,-13872.0
927,-4730.0,-15323.0
928,-4937.0,-22377.0
929,-4527.0,-17745.0
930,-2741.0,-21193.0
931,-2363.0,-19210.0
932,-6224.0,-18014.0
933,-5695.0,-16620.0
934,-3074.0,-20163.0
935,-4748.0,-20755.0
936,-5234.0,-17046.0
937,-3505.0,-18109.0
938,-5983.0,-16885.0
939,-5385.0,-15401.0
940,-3898.0,-19036.0
941,-6177.0,-16570.0
942,-2757.0,-15258.0
943,-4942.0,-19127.0
944,-6889.0,-14061.0
945,-6302.0,-18112.0
946,-5351.0,-16573.0
947,-5008.0,-16085.0
948,-4857.0,-20526.0
949,-5822.0,-16597.0
950,-6784.0,-18575.0
951,-4579.0,-10990.0
952,-6387.0,-21007.0
953,-2996.0,-9703.0
954,-4781.0,-17210.0
955,-2946.0,-21948.0
956,-6387.0,-16696.0
957,-4986.0,-22031.0
958,-4795.0,-20019.0
959,-5900.0,-18422.0
960,-3958.0,-17511.0
961,-4189.0,-20195.0
962,-2384.0,-15573.0
963,-3183.0,-15711.0
964,-4002.0,-10529.0
965,-6425.0,-17162.0
966,-4369.0,-18723.0
967,-4193.0,-20632.0
968,-4759.0,-16080.0
969,-3806.0,-14934.0
970,-3595.0,-17033.0
971,-6153.0,-13250.0
972,-4835.0,-19036.0
973,-4397.0,-18009.0
974,-5516.0,-16644.0
975,-3204.0,-19126.0
976,-3749.0,-17987.0
977,-5289.0,-19368.0
978,-1917.0,-12943.0
979,-6644.0,-17756.0
980,-3781.0,-10999.0
981,-3181.0,-20301.0
982,-6114.0,-17622.0
983,-570.0,-13926.0
984,-4946.0,-17756.0
985,-6692.0,-12673.0
986,-6389.0,-14968.0
987,-5030.0,-12049.0
988,-5247.0,-12475.0
989,-5845.0,-16392.0
990,-3362.0,-14256.0
991,-5211.0,-18874.0
992,-4310.0,-16482.0
993,-4803.0,-15506.0
994,-4377.0,-17663.0
995,-4467.0,-17984.0
996,-4808.0,-19148.0
997,-5228.0,-17622.0
