iter,score_soxR,score_cpxR
84,-14391.0,-5551.0
85,-10394.0,-3000.0
86,-11190.0,-4056.0
87,-13085.0,-4916.0
88,-16553.0,-1545.0
89,-19502.0,-3961.0
90,-9466.0,-3473.0
91,-15286.0,-5371.0
92,-13879.0,-6090.0
93,-14638.0,-3888.0
94,-14721.0,-5842.0
95,-10941.0,-3903.0
96,-9737.0,-3098.0
97,-19185.0,-4370.0
98,-14366.0,-4112.0
99,-17158.0,-4307.0
100,-13874.0,-5326.0
101,-13572.0,-4189.0
102,-16052.0,-4739.0
103,-11848.0,-3984.0
104,-14183.0,-4342.0
105,-15237.0,-4166.0
106,-16663.0,-3982.0
107,-17813.0,-4033.0
108,-14532.0,-2999.0
109,-14887.0,-6377.0
110,-14580.0,-4297.0
111,-12646.0,-4457.0
112,-12115.0,-4926.0
113,-15271.0,-2889.0
114,-15317.0,-4376.0
115,-14448.0,-1970.0
116,-15744.0,-4733.0
117,-13315.0,-4628.0
118,-14546.0,-2962.0
119,-15406.0,-3533.0
120,-10593.0,-4863.0
121,-15696.0,-5644.0
122,-15457.0,-3743.0
123,-14975.0,-6304.0
124,-13588.0,-2631.0
125,-11370.0,-4606.0
126,-15913.0,-3497.0
127,-13557.0,-3409.0
128,-14845.0,-3983.0
129,-14990.0,-4073.0
130,-15485.0,-3559.0
131,-14097.0,-2602.0
132,-16936.0,-3193.0
133,-14109.0,-4305.0
134,-14810.0,-5809.0
135,-14885.0,-5352.0
136,-14242.0,-4827.0
137,-14938.0,-4359.0
138,-12762.0,-3158.0
139,-16364.0,-5953.0
140,-14288.0,-4400.0
141,-15180.0,-4585.0
142,-15363.0,-5504.0
143,-12325.0,-5704.0
144,-14283.0,-5197.0
145,-17656.0,-4389.0
146,-13276.0,-6662.0
147,-17665.0,-5005.0
148,-15323.0,-3778.0
149,-13225.0,-1960.0
150,-14745.0,-3613.0
151,-17790.0,-4744.0
152,-12596.0,-4373.0
153,-11224.0,-5019.0
154,-11921.0,-180.0
155,-15859.0,-2560.0
156,-13388.0,-2618.0
157,-15316.0,-5447.0
158,-16149.0,-3895.0
159,-18845.0,-4906.0
160,-15580.0,-5288.0
161,-14276.0,-3775.0
162,-12761.0,-6565.0
163,-11105.0,-3726.0
164,-13591.0,-3706.0
165,-16308.0,-5097.0
166,-15121.0,-5372.0
167,-14202.0,-3954.0
168,-13112.0,-5527.0
169,-16325.0,-5352.0
170,-11658.0,-3117.0
171,-15404.0,-3683.0
172,-15827.0,-3133.0
173,-14357.0,-2602.0
174,-17985.0,-5316.0
175,-12943.0,-4544.0
176,-14646.0,-2593.0
177,-16959.0,-4625.0
178,-15455.0,-4520.0
179,-13266.0,-2883.0
180,-18293.0,-4206.0
181,-15419.0,-4735.0
182,-14943.0,-2062.0
183,-15323.0,-4906.0
184,-17654.0,-3303.0
185,-14219.0,-3740.0
186,-17788.0,-5487.0
187,-15482.0,-5455.0
188,-17669.0,-4976.0
189,-14177.0,-6594.0
190,-13507.0,-5233.0
191,-13864.0,-5680.0
192,-13801.0,-5690.0
193,-12382.0,-2873.0
194,-13516.0,-3436.0
195,-18019.0,-4675.0
196,-17771.0,-4507.0
197,-15251.0,-3610.0
198,-15441.0,-5401.0
199,-16529.0,-3753.0
200,-13663.0,-709.0
201,-14811.0,-5548.0
202,-17293.0,-5687.0
203,-14110.0,-3063.0
204,-14550.0,-3441.0
205,-17352.0,-6755.0
206,-15953.0,-6488.0
207,-14264.0,-3168.0
208,-14687.0,-2471.0
209,-19318.0,-2406.0
210,-14853.0,-6454.0
211,-15014.0,-4354.0
212,-15174.0,-4609.0
213,-17359.0,-4982.0
214,-17662.0,-6543.0
215,-14142.0,-5179.0
216,-15169.0,-4536.0
217,-15751.0,-5642.0
218,-11850.0,-2489.0
219,-10577.0,-5468.0
220,-15418.0,-5702.0
221,-13197.0,-4329.0
222,-13913.0,-4969.0
223,-12727.0,-4052.0
224,-15598.0,-4551.0
225,-16278.0,-5507.0
226,-16388.0,-5466.0
227,-13325.0,-4031.0
228,-17997.0,-5153.0
229,-15026.0,-5345.0
230,-9477.0,-5545.0
231,-16761.0,-4781.0
232,-13021.0,-5106.0
233,-14410.0,-3411.0
234,-16499.0,-3169.0
235,-13767.0,-3111.0
236,-13793.0,-4916.0
237,-17355.0,-4527.0
238,-11636.0,-4706.0
239,-14215.0,-3810.0
240,-13195.0,-6311.0
241,-12627.0,-4503.0
242,-17021.0,-4596.0
243,-12693.0,-5007.0
244,-13314.0,-4555.0
245,-15051.0,-3564.0
246,-13867.0,-5976.0
247,-17606.0,-1940.0
248,-15175.0,-4985.0
249,-15639.0,-5225.0
250,-16505.0,-2953.0
251,-13489.0,-4651.0
252,-15764.0,-4637.0
253,-11634.0,-4089.0
254,-16347.0,-4080.0
255,-14042.0,-5433.0
256,-11933.0,-5435.0
257,-12802.0,-5613.0
258,-11857.0,-3536.0
259,-11730.0,-4509.0
260,-14100.0,-5150.0
261,-14066.0,-6150.0
262,-14133.0,-3906.0
263,-14274.0,-3173.0
264,-10330.0,-5567.0
265,-16656.0,-6275.0
266,-13047.0,-1655.0
267,-13965.0,-3799.0
268,-17280.0,-4629.0
269,-18612.0,-2511.0
270,-17696.0,-4692.0
271,-17637.0,-4577.0
272,-9893.0,-4427.0
273,-12984.0,-2276.0
274,-13143.0,-4287.0
275,-12068.0,-3950.0
276,-14196.0,-2889.0
277,-12115.0,-5711.0
278,-17912.0,-5112.0
279,-14513.0,-4076.0
280,-11808.0,-3810.0
281,-15009.0,-3743.0
282,-15544.0,-3049.0
283,-13826.0,-6196.0
284,-16240.0,-6219.0
285,-14149.0,-2804.0
286,-14080.0,-3734.0
287,-18573.0,-3579.0
288,-11321.0,-5864.0
289,-16803.0,-2615.0
290,-16862.0,-1865.0
291,-14960.0,-4079.0
292,-11178.0,-2552.0
293,-18031.0,-5330.0
294,-11894.0,-2782.0
295,-16482.0,-5027.0
296,-14023.0,-2040.0
297,-15060.0,-4561.0
298,-13048.0,-3564.0
299,-14413.0,-3394.0
300,-12733.0,-3606.0
301,-9568.0,-4035.0
302,-13867.0,-3973.0
303,-16796.0,-6536.0
304,-15525.0,-3746.0
305,-17176.0,-6509.0
306,-16573.0,-4905.0
307,-15798.0,-3869.0
308,-16205.0,-3359.0
309,-16480.0,-3324.0
310,-13909.0,-4018.0
311,-17355.0,-2405.0
312,-10700.0,-5071.0
313,-12842.0,-5107.0
314,-12092.0,-2695.0
315,-16096.0,-4450.0
316,-16269.0,-4363.0
317,-15379.0,-3648.0
318,-16315.0,-5747.0
319,-17102.0,-5158.0
320,-14234.0,-6096.0
321,-13640.0,-3042.0
322,-15590.0,-5728.0
323,-15011.0,-4685.0
324,-15184.0,-4002.0
325,-16059.0,-4166.0
326,-16276.0,-4231.0
327,-20078.0,-4456.0
328,-15350.0,-5439.0
329,-17460.0,-4899.0
330,-11717.0,-4513.0
331,-14298.0,-4038.0
332,-17712.0,-3241.0
333,-17040.0,-4382.0
334,-13141.0,-4435.0
335,-13382.0,-4916.0
336,-14105.0,-3348.0
337,-13105.0,-1021.0
338,-14089.0,-4503.0
339,-12841.0,-3803.0
340,-16840.0,-5410.0
341,-14973.0,-2763.0
342,-15823.0,-3207.0
343,-15604.0,-4609.0
344,-18312.0,-5347.0
345,-13884.0,-5807.0
346,-15516.0,-3856.0
347,-17055.0,-4428.0
348,-16660.0,-4122.0
349,-15265.0,-2733.0
350,-16225.0,-4857.0
351,-12782.0,-3451.0
352,-13839.0,-4812.0
353,-14878.0,-4141.0
354,-10340.0,-2951.0
355,-13616.0,-5555.0
356,-10868.0,-6575.0
357,-17006.0,-5030.0
358,-16291.0,-4196.0
359,-14391.0,-2969.0
360,-13477.0,-3981.0
361,-15623.0,-3186.0
362,-12999.0,-3767.0
363,-16823.0,-5344.0
364,-16870.0,-3596.0
365,-14820.0,-3469.0
366,-13835.0,-5477.0
367,-11521.0,-3104.0
368,-16625.0,-4360.0
369,-15414.0,-5112.0
370,-17828.0,-5232.0
371,-13175.0,-2457.0
372,-16595.0,-5728.0
373,-17698.0,-3798.0
374,-15379.0,-4376.0
375,-17754.0,-3529.0
376,-16198.0,-5128.0
377,-13099.0,-4430.0
378,-10595.0,-3743.0
379,-17406.0,-4962.0
380,-11993.0,-4392.0
381,-17366.0,-5081.0
382,-16745.0,-5011.0
383,-11846.0,-5685.0
384,-15811.0,-3485.0
385,-17865.0,-5137.0
386,-12992.0,-6425.0
387,-15218.0,-2931.0
388,-17487.0,-4295.0
389,-14139.0,-2749.0
390,-17605.0,-2759.0
391,-16053.0,-3681.0
392,-11560.0,-2717.0
393,-15613.0,-4506.0
394,-17070.0,-5438.0
395,-11959.0,-3646.0
396,-17327.0,-5593.0
397,-12106.0,-3491.0
398,-13083.0,-4374.0
399,-16796.0,-5240.0
400,-15553.0,-4287.0
401,-18582.0,-4700.0
402,-12691.0,-2317.0
403,-12481.0,-1959.0
404,-15506.0,-5531.0
405,-14292.0,-5174.0
406,-16159.0,-6843.0
407,-10294.0,-5905.0
408,-15032.0,-3130.0
409,-14149.0,-5562.0
410,-16446.0,-3746.0
411,-14195.0,-4495.0
412,-14681.0,-5945.0
413,-18952.0,-2855.0
414,-12582.0,-3780.0
415,-16037.0,-3398.0
416,-14563.0,-1363.0
417,-11759.0,-3043.0
418,-8456.0,-3026.0
419,-16825.0,-5941.0
420,-14855.0,-4300.0
421,-12181.0,-3757.0
422,-16727.0,-4061.0
423,-14663.0,-4182.0
424,-15638.0,-5561.0
425,-14033.0,-3987.0
426,-18094.0,-2969.0
427,-13127.0,-4507.0
428,-16984.0,-6018.0
429,-12950.0,-4053.0
430,-15307.0,-4117.0
431,-10605.0,-3016.0
432,-15316.0,-3223.0
433,-15210.0,-6065.0
434,-14226.0,-3836.0
435,-11993.0,-4805.0
436,-14117.0,-3432.0
437,-15316.0,-4372.0
438,-13681.0,-3199.0
439,-16619.0,-4531.0
440,-12033.0,-3942.0
441,-16887.0,-4289.0
442,-16556.0,-4907.0
443,-17597.0,-6348.0
444,-11020.0,-4391.0
445,-14330.0,-3490.0
446,-14862.0,-3627.0
447,-13117.0,-2907.0
448,-15400.0,-2890.0
449,-14597.0,-5159.0
450,-14062.0,-2925.0
451,-10884.0,-4854.0
452,-15589.0,-3171.0
453,-14242.0,-5351.0
454,-16322.0,-4017.0
455,-15355.0,-3790.0
456,-14498.0,-5296.0
457,-16753.0,-6388.0
458,-16564.0,-6614.0
459,-12715.0,-4374.0
460,-14514.0,-4499.0
461,-11794.0,-4093.0
462,-16274.0,-4290.0
463,-14953.0,-3916.0
464,-14049.0,-6743.0
465,-12680.0,-5109.0
466,-17348.0,-4973.0
467,-13950.0,-3920.0
468,-12885.0,-3796.0
469,-12735.0,-5815.0
470,-13843.0,-4681.0
471,-16812.0,-5224.0
472,-16388.0,-5790.0
473,-16057.0,-5478.0
474,-16341.0,-4095.0
475,-13281.0,-5161.0
476,-15663.0,-4030.0
477,-15199.0,-6443.0
478,-16441.0,-4580.0
479,-14097.0,-3512.0
480,-18977.0,-4147.0
481,-17859.0,-2792.0
482,-12315.0,-5010.0
483,-11256.0,-4952.0
484,-15702.0,-3706.0
485,-16580.0,-3963.0
486,-17301.0,-5463.0
487,-17912.0,-3092.0
488,-18755.0,-5653.0
489,-17588.0,-6174.0
490,-15656.0,-3461.0
491,-14685.0,-2428.0
492,-14065.0,-991.0
493,-10488.0,-3000.0
494,-17350.0,-4426.0
495,-13791.0,-6714.0
496,-14222.0,-4524.0
497,-16281.0,-5296.0
498,-15985.0,-4641.0
499,-17351.0,-5721.0
500,-16135.0,-4848.0
501,-16245.0,-5151.0
502,-14183.0,-4403.0
503,-14533.0,-2834.0
504,-15289.0,-5357.0
505,-10893.0,-4364.0
506,-13131.0,-3221.0
507,-16898.0,-5122.0
508,-18836.0,-2414.0
509,-7629.0,-1471.0
510,-15022.0,-3328.0
511,-7115.0,-2385.0
512,-10947.0,-3516.0
513,-16298.0,-2765.0
514,-16715.0,-5925.0
515,-15690.0,-5988.0
516,-14460.0,-3397.0
517,-13232.0,-5463.0
518,-13769.0,-3567.0
519,-16224.0,-4383.0
520,-15139.0,-3480.0
521,-12326.0,-3219.0
522,-17437.0,-5090.0
523,-14100.0,-4305.0
524,-12156.0,-4659.0
525,-14055.0,-3750.0
526,-15272.0,-4693.0
527,-15687.0,-4039.0
528,-13376.0,-5198.0
529,-15995.0,-5517.0
530,-16153.0,-2807.0
531,-15083.0,-3094.0
532,-15695.0,-4221.0
533,-12696.0,-5545.0
534,-12719.0,-3896.0
535,-16480.0,-3844.0
536,-15068.0,-4157.0
537,-16624.0,-4963.0
538,-16326.0,-2887.0
539,-11990.0,-3814.0
540,-12567.0,-2453.0
541,-17376.0,-4941.0
542,-10938.0,-5957.0
543,-14300.0,-5427.0
544,-14409.0,-4948.0
545,-15604.0,-2496.0
546,-16177.0,-3731.0
547,-16051.0,-3911.0
548,-12347.0,-3289.0
549,-15297.0,-2886.0
550,-13701.0,-2527.0
551,-15764.0,-5908.0
552,-14438.0,-3720.0
553,-11833.0,-4092.0
554,-15244.0,-2665.0
555,-14504.0,-3807.0
556,-16846.0,-4947.0
557,-13080.0,-2592.0
558,-13421.0,-4542.0
559,-14041.0,-2199.0
560,-17549.0,-5164.0
561,-10554.0,-3785.0
562,-13324.0,-4722.0
563,-16431.0,-6326.0
564,-17621.0,-6256.0
565,-13677.0,-5745.0
566,-14356.0,-4243.0
567,-13142.0,-2643.0
568,-18548.0,-5672.0
569,-12853.0,-4850.0
570,-11740.0,-4353.0
571,-17756.0,-5937.0
572,-14216.0,-1937.0
573,-13416.0,-5593.0
574,-15623.0,-2101.0
575,-8783.0,-5100.0
576,-9637.0,-4167.0
577,-16399.0,-4606.0
578,-14966.0,-6480.0
579,-17665.0,-5324.0
580,-15710.0,-4452.0
581,-13621.0,-5296.0
582,-17639.0,-4044.0
583,-11833.0,-4008.0
584,-12693.0,-2767.0
585,-15257.0,-3135.0
586,-12432.0,-3608.0
587,-17017.0,-3377.0
588,-14010.0,-5699.0
589,-13225.0,-4578.0
590,-14712.0,-3627.0
591,-16281.0,-4565.0
592,-14629.0,-3895.0
593,-16132.0,-4472.0
594,-14474.0,-4894.0
595,-10943.0,-3083.0
596,-15764.0,-4719.0
597,-16359.0,-4740.0
598,-12076.0,-5980.0
599,-15637.0,-5153.0
600,-10406.0,-3052.0
601,-14552.0,-2501.0
602,-11965.0,-3165.0
603,-18478.0,-2568.0
604,-14283.0,-3365.0
605,-11126.0,-4222.0
606,-15813.0,-7455.0
607,-15436.0,-4273.0
608,-14565.0,-2788.0
609,-16191.0,-3647.0
610,-14737.0,-5004.0
611,-12836.0,-6318.0
612,-12548.0,-4379.0
613,-15322.0,-7168.0
614,-16663.0,-4625.0
615,-14273.0,-4751.0
616,-12909.0,-6246.0
617,-15381.0,-5586.0
618,-16578.0,-3061.0
619,-14232.0,-5305.0
620,-11004.0,-3300.0
621,-14465.0,-4144.0
622,-13349.0,-4466.0
623,-17470.0,-5238.0
624,-13499.0,-6640.0
625,-18918.0,-4260.0
626,-13448.0,-3369.0
627,-17616.0,-4608.0
628,-16521.0,-4459.0
629,-12424.0,-4775.0
630,-10810.0,-4237.0
631,-15657.0,-3181.0
632,-14411.0,-3947.0
633,-16862.0,-4087.0
634,-15355.0,-5026.0
635,-18721.0,-4822.0
636,-13280.0,-4604.0
637,-13431.0,-3710.0
638,-13201.0,-5191.0
639,-15406.0,-4300.0
640,-16247.0,-6704.0
641,-12554.0,-4572.0
642,-10801.0,-5123.0
643,-15598.0,-6283.0
644,-14034.0,-2321.0
645,-10223.0,-3547.0
646,-13202.0,-4618.0
647,-13298.0,-2318.0
648,-11585.0,-6105.0
649,-15151.0,-5348.0
650,-14221.0,-5671.0
651,-14771.0,-4441.0
652,-14172.0,-6077.0
653,-16149.0,-2566.0
654,-16739.0,-4052.0
655,-13028.0,-5628.0
656,-13963.0,-4888.0
657,-15222.0,-2947.0
658,-14164.0,-4725.0
659,-13109.0,-5969.0
660,-16323.0,-3018.0
661,-15126.0,-3014.0
662,-15007.0,-3495.0
663,-15102.0,-4771.0
664,-12655.0,-6658.0
665,-15257.0,-3137.0
666,-15242.0,-2993.0
667,-12058.0,-4458.0
668,-14095.0,-3584.0
669,-15482.0,-4717.0
670,-12033.0,-5383.0
671,-14490.0,-4974.0
672,-13720.0,-5842.0
673,-14061.0,-3685.0
674,-9358.0,-3441.0
675,-15803.0,-4522.0
676,-15346.0,-4807.0
677,-16438.0,-3667.0
678,-11676.0,-5095.0
679,-15448.0,-4687.0
680,-15141.0,-5015.0
681,-14911.0,-2560.0
682,-15638.0,-4430.0
683,-12442.0,-4866.0
684,-15350.0,-4080.0
685,-14563.0,-6406.0
686,-10659.0,-5127.0
687,-15323.0,-3573.0
688,-13139.0,-4493.0
689,-10648.0,-3292.0
690,-12115.0,-2823.0
691,-18026.0,-4758.0
692,-15690.0,-4605.0
693,-14200.0,-4712.0
694,-11634.0,-4395.0
695,-14060.0,-4184.0
696,-14674.0,-5479.0
697,-10644.0,-4272.0
698,-14941.0,-5367.0
699,-14450.0,-3884.0
700,-13485.0,-2670.0
701,-14926.0,-3640.0
702,-10015.0,-5496.0
703,-12042.0,-5595.0
704,-15712.0,-4570.0
705,-12561.0,-3813.0
706,-11064.0,-3931.0
707,-12919.0,-5627.0
708,-12300.0,-5106.0
709,-14176.0,-5226.0
710,-13367.0,-2724.0
711,-14012.0,-7070.0
712,-11720.0,-3295.0
713,-13967.0,-4269.0
714,-11850.0,-4885.0
715,-17006.0,-5205.0
716,-14017.0,-6658.0
717,-13879.0,-4011.0
718,-16994.0,-3186.0
719,-14425.0,-6449.0
720,-13636.0,-5108.0
721,-13464.0,-1858.0
722,-11906.0,-3504.0
723,-16310.0,-3148.0
724,-16140.0,-3922.0
725,-10099.0,-4760.0
726,-12919.0,-4532.0
727,-14219.0,-4401.0
728,-13090.0,-1898.0
729,-11272.0,-3200.0
730,-15299.0,-4992.0
731,-11526.0,-5070.0
732,-15159.0,-5669.0
733,-13972.0,-5121.0
734,-13092.0,-4218.0
735,-15253.0,-5102.0
736,-14828.0,-4842.0
737,-13031.0,-5057.0
738,-12092.0,-4139.0
739,-15419.0,-2940.0
740,-15602.0,-4736.0
741,-14497.0,-4160.0
742,-13129.0,-5639.0
743,-13961.0,-4970.0
744,-17055.0,-2525.0
745,-13166.0,-5642.0
746,-16463.0,-3580.0
747,-14301.0,-2677.0
748,-14083.0,-4976.0
749,-13606.0,-3318.0
750,-14455.0,-4336.0
751,-15234.0,-3441.0
752,-14208.0,-2625.0
753,-12389.0,-2949.0
754,-15158.0,-4725.0
755,-17193.0,-4932.0
756,-14565.0,-4330.0
757,-12349.0,-2974.0
758,-17440.0,-5003.0
759,-14872.0,-4741.0
760,-15109.0,-5497.0
761,-13450.0,-5220.0
762,-15752.0,-2435.0
763,-12841.0,-6035.0
764,-14731.0,-2016.0
765,-14829.0,-3260.0
766,-17977.0,-5554.0
767,-14316.0,-4692.0
768,-16821.0,-5110.0
769,-13876.0,-5601.0
770,-16510.0,-5469.0
771,-17932.0,-4172.0
772,-9891.0,-4908.0
773,-15623.0,-6052.0
774,-10183.0,-5087.0
775,-9534.0,-4366.0
776,-13314.0,-3621.0
777,-12969.0,-4798.0
778,-14439.0,-6253.0
779,-11636.0,-5595.0
780,-14795.0,-3249.0
781,-12555.0,-4305.0
782,-11436.0,-5818.0
783,-13528.0,-3611.0
784,-17374.0,-5117.0
785,-16324.0,-4513.0
786,-12392.0,-4135.0
787,-14878.0,-4096.0
788,-13173.0,-4101.0
789,-14892.0,-2709.0
790,-14606.0,-4574.0
791,-14590.0,-3352.0
792,-14191.0,-3747.0
793,-14563.0,-4162.0
794,-10663.0,-4286.0
795,-15105.0,-4339.0
796,-15340.0,-5108.0
797,-13474.0,-5483.0
798,-13100.0,-4257.0
799,-18838.0,-4443.0
800,-14347.0,-4990.0
801,-14318.0,-2548.0
802,-16432.0,-2056.0
803,-17240.0,-6773.0
804,-14612.0,-2856.0
805,-15220.0,-5592.0
806,-13877.0,-6299.0
807,-15218.0,-5888.0
808,-16959.0,-4992.0
809,-14142.0,-3311.0
810,-11111.0,-3220.0
811,-15504.0,-4223.0
812,-17184.0,-6057.0
813,-11681.0,-1939.0
814,-10898.0,-4901.0
815,-14983.0,-4368.0
816,-19086.0,-2520.0
817,-18546.0,-3877.0
818,-15316.0,-4302.0
819,-13397.0,-5141.0
820,-14712.0,-4367.0
821,-16086.0,-4876.0
822,-15090.0,-5966.0
823,-13019.0,-4408.0
824,-17555.0,-5580.0
825,-18061.0,-4976.0
826,-14490.0,-4981.0
827,-13087.0,-2788.0
828,-15565.0,-3278.0
829,-12926.0,-5750.0
830,-13197.0,-2972.0
831,-14149.0,-5845.0
832,-17896.0,-4270.0
833,-17598.0,-5041.0
834,-16481.0,-3349.0
835,-16641.0,-5244.0
836,-11406.0,-3642.0
837,-14751.0,-3873.0
838,-12964.0,-4636.0
839,-9134.0,-4650.0
840,-11034.0,-3647.0
841,-15525.0,-4235.0
842,-13504.0,-4536.0
843,-10513.0,-3820.0
844,-14411.0,-2271.0
845,-12894.0,-6357.0
846,-13963.0,-5572.0
847,-15703.0,-3445.0
848,-15282.0,-3495.0
849,-14934.0,-2832.0
850,-13967.0,-4526.0
851,-14347.0,-3246.0
852,-12953.0,-6162.0
853,-17538.0,-4478.0
854,-16144.0,-5381.0
855,-16668.0,-2879.0
856,-16332.0,-3045.0
857,-12851.0,-6856.0
858,-13075.0,-4128.0
859,-11607.0,-5494.0
860,-10983.0,-4141.0
861,-16448.0,-3243.0
862,-15207.0,-5393.0
863,-15739.0,-4900.0
864,-13024.0,-3088.0
865,-10512.0,-5544.0
866,-12808.0,-4204.0
867,-15779.0,-3646.0
868,-15433.0,-1530.0
869,-10859.0,-4584.0
870,-14198.0,-5037.0
871,-14904.0,-2795.0
872,-13299.0,-4039.0
873,-8081.0,-4878.0
874,-12819.0,-5656.0
875,-12156.0,-3258.0
876,-11898.0,-5447.0
877,-15223.0,-3369.0
878,-14488.0,-3866.0
879,-16368.0,-4654.0
880,-15590.0,-2967.0
881,-18661.0,-5306.0
882,-17381.0,-5110.0
883,-12166.0,-3905.0
884,-16665.0,-5038.0
885,-13588.0,-3156.0
886,-12926.0,-5439.0
887,-13085.0,-5261.0
888,-15545.0,-5113.0
889,-16957.0,-5990.0
890,-15092.0,-5579.0
891,-17396.0,-5068.0
892,-12149.0,-2836.0
893,-15897.0,-5428.0
894,-14509.0,-5021.0
895,-14107.0,-4684.0
896,-15336.0,-4544.0
897,-12783.0,-3807.0
898,-19220.0,-3099.0
899,-12953.0,-4491.0
900,-12723.0,-5528.0
901,-16714.0,-4795.0
902,-16497.0,-4330.0
903,-13656.0,-2482.0
904,-20360.0,-4304.0
905,-13799.0,-3979.0
906,-14087.0,-1935.0
907,-12955.0,-4812.0
908,-16157.0,-3870.0
909,-15995.0,-4801.0
910,-16208.0,-2491.0
911,-13264.0,-2464.0
912,-11984.0,-2719.0
913,-15600.0,-1776.0
914,-14553.0,-4457.0
915,-17423.0,-4188.0
916,-15524.0,-4175.0
917,-14774.0,-5719.0
918,-16674.0,-4588.0
919,-14358.0,-4812.0
920,-16327.0,-3803.0
921,-13227.0,-4567.0
922,-14118.0,-6107.0
923,-13242.0,-3764.0
924,-12671.0,-5624.0
925,-18838.0,-4577.0
926,-15788.0,-3792.0
927,-13421.0,-2964.0
928,-16677.0,-3163.0
929,-16896.0,-1537.0
930,-15175.0,-3728.0
931,-18054.0,-5540.0
932,-14721.0,-4553.0
933,-15671.0,-4985.0
934,-14332.0,-3632.0
935,-15693.0,-5330.0
936,-12529.0,-3689.0
937,-14243.0,-4905.0
938,-16593.0,-4471.0
939,-15746.0,-4650.0
940,-15000.0,-2986.0
941,-16772.0,-4346.0
942,-15185.0,-3557.0
943,-13261.0,-3673.0
944,-15481.0,-6229.0
945,-14322.0,-2832.0
946,-16563.0,-3946.0
947,-15835.0,-3921.0
948,-9528.0,-3967.0
949,-12757.0,-5532.0
950,-17987.0,-4178.0
951,-15489.0,-4817.0
952,-11000.0,-3333.0
953,-14002.0,-5255.0
954,-15688.0,-3849.0
955,-14862.0,-5505.0
956,-14044.0,-2992.0
957,-15323.0,-3800.0
958,-16556.0,-6052.0
959,-13256.0,-4825.0
960,-13066.0,-5656.0
961,-14937.0,-5084.0
962,-16458.0,-5864.0
963,-17927.0,-5473.0
964,-13119.0,-6937.0
965,-13790.0,-4669.0
966,-12975.0,-4179.0
967,-12930.0,-4496.0
968,-14556.0,-5210.0
969,-12194.0,-3167.0
970,-11818.0,-4221.0
971,-13679.0,-5503.0
972,-17640.0,-3266.0
973,-15448.0,-3946.0
974,-16564.0,-3178.0
975,-13907.0,-4735.0
976,-14033.0,-4907.0
977,-14123.0,-3987.0
978,-14512.0,-4681.0
979,-14429.0,-3662.0
980,-14070.0,-3552.0
981,-13865.0,-3521.0
982,-15433.0,-5727.0
983,-14358.0,-5658.0
984,-15355.0,-5309.0
985,-15538.0,-3835.0
986,-13951.0,-7070.0
987,-15271.0,-5374.0
988,-17947.0,-3931.0
989,-14465.0,-5868.0
990,-17094.0,-6248.0
991,-15338.0,-4688.0
992,-17818.0,-4343.0
993,-15688.0,-6199.0
994,-15306.0,-4284.0
995,-14590.0,-6465.0
996,-8666.0,-3455.0
